#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
105,Algeria,"271,096",,"6,881                                ",,"182,567",,"81,648",,"5,978",152,"230,861","5,091","45,350,148 ",Africa,,"1676,591196",,,"1,800",
106,Nigeria,"266,283",,"3,155                                ",,"259,640",,"3,488",11,"1,229",15,"5,441,162","25,104","216,746,934 ",Africa,,"81468,70040",,,16,
107,Zimbabwe,"257,893",,"5,606                                ",,"251,904",,383,12,"16,821",366,"2,525,756","164,744","15,331,428 ",Africa,,"592,7356",,,25,
108,Uzbekistan,"246,674",,"1,637                                ",,"241,486",,"3,551",23,"7,174",48,"1,377,915","40,077","34,382,084 ",Asia,,"13921,00325",,,103,
109,Brunei ,"241,044",,225                                ,,"222,140",,"18,679",3,"541,148",505,"717,784","1,611,437","445,431 ",Asia,,"21,9801",,,"41,935",
110,Mozambique,"230,624",,"2,226                                ",,"228,310",,88,11,"6,970",67,"1,371,127","41,437","33,089,461 ",Africa,,"14314,86524",,,3,
111,Martinique,"224,468",,"1,071                                ",,N/A,N/A,N/A,8,"600,042","2,863","828,928","2,215,870","374,087 ",North America,,23490,,,"596,901",
112,Laos,"216,780",+36,758                                ,,N/A,N/A,N/A,,"28,977",101,"1,233,207","164,845","7,481,023 ",Asia,,"359,8696",5,,"27,852",
113,Iceland,"207,171",,219                                ,,N/A,N/A,N/A,2,"599,812",634,"1,996,384","5,780,036","345,393 ",Europe,,"21,5770",,,"380,051",
114,Kyrgyzstan,"206,530",,"2,991                                ",,"196,406",,"7,133",131,"30,696",445,"1,907,195","283,460","6,728,271 ",Asia,,"332,2504",,,"1,060",
115,Afghanistan,"206,073",,"7,834                                ",,"183,805",,"14,434","1,124","5,056",192,"1,158,983","28,438","40,754,388 ",Asia,,"1985,20235",,,354,
